Lead_ID,Lead_Source,Total_Visits,Total_Time_Spent_on_Website,Last_Activity,Occupation,Email_Opened,Page_Views_Per_Visit,Lead_Age_Days,Converted,Lead_Score,Priority,Rank,AI_Action,AI_Reasons,AI_Urgency,AI_Channel,AI_OneLiner
LEAD-1015,Referral,28,1982,Form Submitted,Student,7,7.98,161,1,0.843,High,84,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1095,Email Campaign,4,2521,Demo Requested,Student,10,4.79,99,1,0.8427,High,85,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 4 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1143,Social Media,6,2896,Form Submitted,Businessman,9,2.84,40,1,0.8421,High,86,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 6 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1195,Email Campaign,24,850,Page Visited,Businessman,0,6.91,113,1,0.8386,High,87,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1062,Cold Call,16,1931,Email Opened,Businessman,4,5.68,171,1,0.8367,High,88,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1121,Social Media,27,2207,No Activity,Student,7,7.4,137,1,0.8365,High,89,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1059,Referral,3,1853,Demo Requested,Working Professional,8,6.99,140,1,0.8357,High,90,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 3 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1011,Email Campaign,16,1115,Page Visited,Other,9,7.73,4,1,0.8252,High,91,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1148,Referral,24,417,Email Opened,Other,13,3.34,67,1,0.8236,High,92,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1102,Social Media,8,356,Demo Requested,Businessman,10,2.2,82,1,0.8208,High,93,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 8 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1122,Cold Call,27,851,Form Submitted,Student,13,3.93,153,1,0.8203,High,94,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1055,Website,27,1974,Page Visited,Working Professional,10,2.67,143,1,0.8175,High,95,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1000,Social Media,2,35,Email Opened,Businessman,4,1.99,108,1,0.8031,High,96,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 2 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1151,Website,14,825,No Activity,Student,5,1.53,98,1,0.8019,High,97,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 14 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1169,Social Media,14,2710,No Activity,Working Professional,7,4.79,170,1,0.8015,High,98,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 14 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1100,Social Media,20,1312,Page Visited,Other,3,7.89,163,1,0.7999,High,99,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1027,Referral,8,1077,Email Opened,Student,8,1.46,160,1,0.7948,High,100,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 8 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1041,Website,28,2870,No Activity,Unemployed,5,3.86,133,1,0.7935,High,101,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1005,Referral,16,399,No Activity,Other,13,3.54,171,1,0.7933,High,102,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1040,Social Media,7,2914,Email Opened,Businessman,5,5.51,84,1,0.7917,High,103,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 7 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1023,Website,7,2352,Email Opened,Businessman,6,2.33,158,1,0.7876,High,104,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 7 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1073,Referral,8,896,Demo Requested,Other,9,7.25,4,1,0.7818,High,105,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 8 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1190,Referral,23,264,No Activity,Businessman,6,7.47,12,1,0.7815,High,106,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 23 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1093,Email Campaign,4,2959,Email Opened,Working Professional,12,1.16,177,1,0.7772,High,107,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 4 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1019,Social Media,26,1148,Email Opened,Working Professional,2,6.25,126,1,0.7702,High,108,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 26 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1001,Cold Call,6,684,Demo Requested,Working Professional,4,2.23,45,1,0.7586,High,109,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 6 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1058,Social Media,9,116,Demo Requested,Student,5,6.06,88,1,0.7538,High,110,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 9 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1129,Cold Call,5,2738,Page Visited,Businessman,10,5.22,139,1,0.7478,High,111,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 5 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1096,Cold Call,1,2479,Page Visited,Student,14,5.43,20,1,0.7438,High,112,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 1 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1077,Social Media,20,580,No Activity,Businessman,12,3.66,93,1,0.7342,High,113,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1141,Cold Call,14,2082,Email Opened,Businessman,11,2.5,81,0,0.7323,High,114,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 14 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1138,Referral,12,1630,Form Submitted,Businessman,14,5.65,60,1,0.7012,High,115,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 12 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1050,Social Media,1,656,Page Visited,Student,12,1.14,146,1,0.6967,High,116,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 1 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1170,Website,24,36,No Activity,Unemployed,14,7.11,100,1,0.6902,High,117,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1182,Website,1,1365,Demo Requested,Other,2,5.94,107,1,0.6888,High,118,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 1 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1049,Social Media,2,1682,Page Visited,Unemployed,14,5.7,68,1,0.6774,High,119,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 2 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1135,Email Campaign,3,284,Email Opened,Businessman,7,3.08,90,1,0.6698,High,120,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 3 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1087,Website,2,1008,Page Visited,Student,7,1.98,120,1,0.6669,High,121,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 2 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1157,Cold Call,29,675,No Activity,Unemployed,4,6.73,80,0,0.6652,High,122,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 29 website visits | Activity signal: 'No Activity' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1197,Website,28,143,Page Visited,Unemployed,10,6.8,104,1,0.6432,Medium,123,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (28 visits, 143s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1037,Cold Call,23,991,Email Opened,Unemployed,2,7.62,158,1,0.6373,Medium,124,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (23 visits, 991s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1179,Website,26,595,Form Submitted,Businessman,4,7.91,170,0,0.6007,Medium,125,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (26 visits, 595s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1187,Website,7,395,Email Opened,Student,10,1.24,100,0,0.5696,Medium,126,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (7 visits, 395s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1006,Email Campaign,1,2701,Email Opened,Working Professional,9,5.06,168,0,0.5487,Medium,127,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (1 visits, 2701s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1068,Social Media,1,2849,Email Opened,Student,5,2.46,11,0,0.5447,Medium,128,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (1 visits, 2849s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1092,Email Campaign,9,1227,Form Submitted,Student,11,3.98,47,1,0.5374,Medium,129,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (9 visits, 1227s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1091,Website,29,452,No Activity,Student,3,6.6,54,1,0.5184,Medium,130,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (29 visits, 452s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1185,Social Media,22,2224,No Activity,Unemployed,8,4.98,159,0,0.5128,Medium,131,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (22 visits, 2224s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1181,Email Campaign,8,728,Page Visited,Unemployed,8,1.28,160,1,0.5057,Medium,132,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (8 visits, 728s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1125,Social Media,1,2737,Form Submitted,Other,0,1.33,9,0,0.4936,Medium,133,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (1 visits, 2737s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1084,Website,18,2744,Form Submitted,Working Professional,7,3.06,57,0,0.4571,Medium,134,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (18 visits, 2744s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1178,Cold Call,2,2109,Page Visited,Businessman,8,2.55,23,0,0.4401,Medium,135,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (2 visits, 2109s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1061,Social Media,16,1150,Email Opened,Student,12,3.78,61,0,0.4169,Medium,136,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (16 visits, 1150s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1053,Cold Call,5,1810,No Activity,Working Professional,13,2.25,176,0,0.4134,Medium,137,Send a tailored case study or success story relevant to their occupation. Follow up with a soft call-to-action within 48 hours.,"Moderate engagement (5 visits, 1810s on site) | Has shown some interest but not yet committed | Needs nurturing to move down the funnel",Contact within 3 days,Email,Interested but needs nurturing — send a targeted value email.
LEAD-1089,Email Campaign,3,1773,Email Opened,Other,12,4.41,5,0,0.3975,Low,138,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (3 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1116,Referral,6,335,No Activity,Working Professional,13,7.12,11,1,0.3769,Low,139,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (6 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1133,Cold Call,19,1191,No Activity,Other,3,3.49,133,0,0.3733,Low,140,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (19 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1183,Referral,9,396,Email Opened,Other,14,7.48,158,1,0.3649,Low,141,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (9 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1127,Social Media,15,1568,Email Opened,Student,7,6.17,25,0,0.3571,Low,142,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (15 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1155,Website,1,728,No Activity,Student,13,4.04,6,0,0.3528,Low,143,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (1 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1142,Social Media,21,2774,Form Submitted,Working Professional,14,1.22,114,0,0.3496,Low,144,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (21 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1066,Referral,22,633,Email Opened,Other,13,1.09,46,0,0.3345,Low,145,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (22 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1180,Website,17,1903,Form Submitted,Student,9,7.61,138,0,0.3266,Low,146,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (17 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1094,Website,1,2265,Form Submitted,Other,1,2.88,9,1,0.3209,Low,147,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (1 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1184,Referral,11,698,Demo Requested,Working Professional,3,2.26,39,0,0.3148,Low,148,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (11 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1166,Social Media,26,1008,Email Opened,Unemployed,5,7.65,107,0,0.3137,Low,149,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (26 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1085,Website,14,1243,Demo Requested,Businessman,14,7.64,169,0,0.3135,Low,150,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (14 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1114,Website,14,515,Email Opened,Other,14,1.96,101,0,0.3088,Low,151,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (14 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1167,Email Campaign,3,2143,Email Opened,Working Professional,6,4.12,45,1,0.3053,Low,152,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (3 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1149,Social Media,29,114,Form Submitted,Businessman,7,6.4,56,0,0.2853,Low,153,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (29 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1154,Email Campaign,28,412,No Activity,Other,0,5.82,33,0,0.2849,Low,154,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (28 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1175,Referral,2,872,Demo Requested,Student,8,6.94,45,0,0.2846,Low,155,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (2 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1115,Cold Call,6,2839,Email Opened,Working Professional,9,7.3,98,0,0.2783,Low,156,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (6 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1196,Email Campaign,13,1390,Page Visited,Student,10,3.23,17,0,0.2555,Low,157,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (13 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1078,Social Media,3,2837,No Activity,Businessman,14,5.13,63,0,0.247,Low,158,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (3 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1140,Website,29,753,Page Visited,Working Professional,0,6.13,28,0,0.2415,Low,159,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (29 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1106,Email Campaign,1,1781,Page Visited,Other,10,1.82,160,0,0.2348,Low,160,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (1 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1128,Cold Call,1,956,Page Visited,Businessman,11,1.58,5,0,0.2341,Low,161,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (1 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1199,Social Media,7,395,Form Submitted,Businessman,10,5.17,88,0,0.2282,Low,162,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (7 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1007,Email Campaign,9,971,No Activity,Businessman,13,5.43,108,0,0.2281,Low,163,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (9 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1030,Email Campaign,8,2311,Page Visited,Other,14,4.67,39,0,0.2259,Low,164,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (8 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1192,Social Media,3,1819,Form Submitted,Student,10,7.61,13,0,0.2186,Low,165,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (3 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1017,Cold Call,4,50,Page Visited,Other,7,5.17,170,0,0.2134,Low,166,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (4 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
LEAD-1063,Referral,3,1012,Form Submitted,Unemployed,10,2.43,124,0,0.2063,Low,167,"Add to a drip email campaign. Share educational content (blog posts, webinars). Re-evaluate in 2 weeks.",Low website engagement (3 visits) | No strong activity signal detected | May need education-first content,Nurture over 2 weeks,Email,Early-stage lead — enrol in nurture sequence and revisit later.
